               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.077887,            0.077979,            0.017435,             0.51468,             0.54169,             0.50378,             0.20158,             0.06011,            0.048732,           0.0064977,             0.00279,             0.00279,             0.07489
                   1,            0.060888,            0.064461,           0.0073325,             0.65391,             0.61266,             0.64542,             0.31506,            0.053312,            0.046529,           0.0051558,           0.0043323,           0.0043323,            0.048432
                   2,            0.053143,            0.063346,            0.006202,              0.6317,             0.64139,             0.64981,             0.30546,            0.049745,            0.045534,           0.0043236,           0.0027268,           0.0027268,            0.018827
